sample	AMB_MIC	POS_MIC	VRC_MIC	ITR_MIC	FLC_MIC	IVZ_MIC	ANI_MIC	CAS_MIC
NG-9780_NRZ_2016_57	0.25	16	16	16	128	16	0.03	0.5
NG-9780_NRZ_2016_58	0.5	16	16	16	128	16	4	16
